"geneid","strand","fiveprime","threeprime"
"Pc2113T1C00002458g0000260","-",328,91
"Pc2113T1C00002458g0000270","+",328,65
"Pc2113T1C00002458g0000290","-",721,108
"Pc2113T1C00002458g0000280","+",65,108
"Pc2113T1C00002458g0000300","-",400,721
"Pc2113T1C00002458g0000310","-",28979,400
"Pc2113T1C00002458g0000320","-",1043,28979
"Pc2113T1C00002458g0000330","-",3112,1043
"Pc2113T1C00000625g0000430","-",865,100
"Pc2113T1C00002458g0000340","+",3112,9156
"Pc2113T1C00002458g0000350","+",9156,4041
"Pc2113T1C00002458g0000360","+",4041,124
"Pc2113T1C00002458g0000370","-",165,124
"Pc2113T1C00002458g0000380","-",1189,165
"Pc2113T1C00002458g0000390","-",7125,1189
"Pc2113T1C00002458g0000400","+",7125,2047
"Pc2113T1C00002458g0000410","+",2047,2556
"Pc2113T1C00002458g0000420","+",2556,2140
"Pc2113T1C00002458g0000430","-",NA,2140
"Pc2113T1C00000625g0000440","-",2481,865
"Pc2113T1C00002459g0000010","+",NA,1679
"Pc2113T1C00002459g0000030","-",2144,3714
"Pc2113T1C00002459g0000020","+",1679,3714
"Pc2113T1C00002459g0000040","-",4968,2144
"Pc2113T1C00002459g0000050","+",4968,650
"Pc2113T1C00002459g0000060","+",650,14
"Pc2113T1C00002459g0000070","+",14,2449
"Pc2113T1C00002459g0000090","-",132,854
"Pc2113T1C00002459g0000080","+",2449,854
"Pc2113T1C00002459g0000100","-",3790,132
"Pc2113T1C00002459g0000110","+",3790,4728
"Pc2113T1C00002459g0000120","-",2414,4728
"Pc2113T1C00002459g0000130","+",2414,5186
"Pc2113T1C00002459g0000150","-",259,168
"Pc2113T1C00002459g0000140","+",5186,168
"Pc2113T1C00002459g0000160","-",971,259
"Pc2113T1C00002459g0000170","-",6482,971
"Pc2113T1C00002459g0000180","+",6482,7597
"Pc2113T1C00002459g0000190","-",388,7597
"Pc2113T1C00002459g0000200","-",1781,388
"Pc2113T1C00002459g0000210","-",3084,1781
"Pc2113T1C00000625g0000460","-",3305,553
"Pc2113T1C00000625g0000450","+",2481,553
"Pc2113T1C00002459g0000220","-",214,3084
"Pc2113T1C00002459g0000230","-",601,214
"Pc2113T1C00002459g0000250","-",3028,169
"Pc2113T1C00002459g0000240","+",601,169
"Pc2113T1C00002459g0000260","+",3028,289
"Pc2113T1C00002459g0000270","+",289,3351
"Pc2113T1C00002459g0000280","+",3351,2902
"Pc2113T1C00002459g0000290","-",0,2902
"Pc2113T1C00002459g0000300","-",981,0
"Pc2113T1C00000625g0000470","-",4576,3305
"Pc2113T1C00002459g0000310","+",981,2049
"Pc2113T1C00002459g0000320","-",2485,2049
"Pc2113T1C00002459g0000330","-",2236,2485
"Pc2113T1C00002459g0000340","-",2094,2236
"Pc2113T1C00002459g0000350","-",3779,2094
"Pc2113T1C00002459g0000360","-",179,3779
"Pc2113T1C00002459g0000380","-",129,339
"Pc2113T1C00002459g0000370","+",179,339
"Pc2113T1C00002459g0000400","-",939,679
"Pc2113T1C00002459g0000390","+",129,679
"Pc2113T1C00002459g0000410","-",530,939
"Pc2113T1C00000625g0000480","-",1569,4576
"Pc2113T1C00002459g0000430","-",5613,252
"Pc2113T1C00002459g0000420","+",530,252
"Pc2113T1C00002459g0000440","-",585,5613
"Pc2113T1C00002459g0000450","-",22889,585
"Pc2113T1C00002459g0000460","+",22889,235
"Pc2113T1C00002459g0000470","-",6080,235
"Pc2113T1C00002459g0000480","-",NA,6080
"Pc2113T1C00002461g0000020","-",19,6825
"Pc2113T1C00002461g0000030","-",2650,19
"Pc2113T1C00002461g0000040","+",2650,676
"Pc2113T1C00002461g0000050","+",676,4523
"Pc2113T1C00002461g0000060","-",159,4523
"Pc2113T1C00002461g0000080","-",284,94
"Pc2113T1C00002461g0000070","+",159,94
"Pc2113T1C00002461g0000090","-",2399,284
"Pc2113T1C00002461g0000110","-",1541,1662
"Pc2113T1C00002461g0000100","+",2399,1662
"Pc2113T1C00002461g0000120","+",1541,2390
"Pc2113T1C00002461g0000130","+",2390,489
"Pc2113T1C00000625g0000490","+",1569,348
"Pc2113T1C00002461g0000150","-",3422,631
"Pc2113T1C00002461g0000140","+",489,631
"Pc2113T1C00002461g0000160","-",4126,3422
"Pc2113T1C00002461g0000170","-",1386,4126
"Pc2113T1C00002461g0000180","-",8903,1386
"Pc2113T1C00002461g0000190","-",NA,8903
"Pc2113T1C00002462g0000020","-",4407,3239
"Pc2113T1C00002462g0000030","-",957,4407
"Pc2113T1C00002462g0000050","-",22199,8576
"Pc2113T1C00002462g0000040","+",957,8576
"Pc2113T1C00002462g0000060","-",2815,22199
"Pc2113T1C00000136g0000080","-",14605,778
"Pc2113T1C00000136g0000070","+",312,778
"Pc2113T1C00000625g0000500","+",348,132
"Pc2113T1C00002462g0000070","-",1565,2815
"Pc2113T1C00002462g0000080","+",1565,1644
"Pc2113T1C00002462g0000090","+",1644,1825
"Pc2113T1C00002462g0000100","+",1825,137
"Pc2113T1C00002462g0000110","-",598,137
"Pc2113T1C00002462g0000120","+",598,114
"Pc2113T1C00002462g0000130","-",114301,114
"Pc2113T1C00002462g0000150","-",256,205
"Pc2113T1C00002462g0000140","+",114301,205
"Pc2113T1C00002462g0000160","-",266,256
"Pc2113T1C00000625g0000520","-",273,50
"Pc2113T1C00000625g0000510","+",132,50
"Pc2113T1C00002462g0000170","-",71,266
"Pc2113T1C00002462g0000180","-",400,71
"Pc2113T1C00002462g0000190","-",1772,400
"Pc2113T1C00002462g0000200","-",32,1772
"Pc2113T1C00002462g0000210","-",485,32
"Pc2113T1C00002462g0000220","-",1240,485
"Pc2113T1C00002462g0000240","-",NA,3460
"Pc2113T1C00002462g0000230","+",1240,3460
"Pc2113T1C00002466g0000030","-",380,359
"Pc2113T1C00002466g0000020","+",597,359
"Pc2113T1C00000625g0000530","-",150,273
"Pc2113T1C00002466g0000040","-",279,380
"Pc2113T1C00002466g0000050","+",279,169
"Pc2113T1C00002466g0000060","+",169,42
"Pc2113T1C00002466g0000070","-",433,42
"Pc2113T1C00002466g0000090","-",633,179
"Pc2113T1C00002466g0000080","+",433,179
"Pc2113T1C00002466g0000100","+",633,94
"Pc2113T1C00002466g0000110","+",94,1631
"Pc2113T1C00002466g0000120","-",1262,1631
"Pc2113T1C00002466g0000130","-",821,1262
"Pc2113T1C00002466g0000140","+",821,171
"Pc2113T1C00002466g0000150","+",171,110
"Pc2113T1C00002466g0000160","-",1347,110
"Pc2113T1C00002466g0000170","-",396,1347
"Pc2113T1C00002466g0000190","-",128,108
"Pc2113T1C00002466g0000180","+",396,108
"Pc2113T1C00002466g0000210","-",79,124
"Pc2113T1C00002466g0000200","+",128,124
"Pc2113T1C00002466g0000220","+",79,33
"Pc2113T1C00002466g0000230","-",222,33
"Pc2113T1C00000625g0000540","+",150,580
"Pc2113T1C00002466g0000250","-",1163,82
"Pc2113T1C00002466g0000240","+",222,82
"Pc2113T1C00002466g0000270","-",374,801
"Pc2113T1C00002466g0000260","+",1163,801
"Pc2113T1C00002466g0000290","-",196,238
"Pc2113T1C00002466g0000280","+",374,238
"Pc2113T1C00002466g0000300","+",196,412
"Pc2113T1C00002466g0000310","-",2331,412
"Pc2113T1C00002466g0000320","-",213,2331
"Pc2113T1C00002466g0000330","-",239,213
"Pc2113T1C00000625g0000560","-",8,204
"Pc2113T1C00000625g0000550","+",580,204
"Pc2113T1C00002466g0000340","-",294,239
"Pc2113T1C00002466g0000350","-",1897,294
"Pc2113T1C00002466g0000360","+",1897,134
"Pc2113T1C00002466g0000370","+",134,261
"Pc2113T1C00002466g0000380","+",261,214
"Pc2113T1C00002466g0000390","-",414,214
"Pc2113T1C00002466g0000400","+",414,258
"Pc2113T1C00002466g0000410","+",258,7506
"Pc2113T1C00002466g0000420","+",7506,291
"Pc2113T1C00000625g0000570","-",5136,8
"Pc2113T1C00002466g0000440","-",189,124
"Pc2113T1C00002466g0000430","+",291,124
"Pc2113T1C00002466g0000460","-",147,52
"Pc2113T1C00002466g0000450","+",189,52
"Pc2113T1C00002466g0000480","-",884,3854
"Pc2113T1C00002466g0000470","+",147,3854
"Pc2113T1C00002466g0000490","-",2602,884
"Pc2113T1C00002466g0000500","+",2602,2434
"Pc2113T1C00002466g0000510","+",2434,1632
"Pc2113T1C00002466g0000520","+",1632,75
"Pc2113T1C00002466g0000530","-",231,75
"Pc2113T1C00000625g0000580","-",89,5136
"Pc2113T1C00002466g0000540","+",231,219
"Pc2113T1C00002466g0000550","+",219,97
"Pc2113T1C00002466g0000560","-",190,97
"Pc2113T1C00002466g0000570","+",190,247
"Pc2113T1C00002466g0000580","+",247,266
"Pc2113T1C00002466g0000590","+",266,352
"Pc2113T1C00002466g0000600","-",605,352
"Pc2113T1C00002466g0000610","-",521,605
"Pc2113T1C00002466g0000620","-",1341,521
"Pc2113T1C00000625g0000590","-",NA,89
"Pc2113T1C00002466g0000630","+",1341,55
"Pc2113T1C00002466g0000640","-",250,55
"Pc2113T1C00002466g0000650","-",449,250
"Pc2113T1C00002466g0000660","-",1235,449
"Pc2113T1C00002466g0000670","+",1235,445
"Pc2113T1C00002466g0000680","+",445,40
"Pc2113T1C00002466g0000690","-",272,40
"Pc2113T1C00002466g0000700","-",1489,272
"Pc2113T1C00002466g0000710","-",1755,1489
"Pc2113T1C00002466g0000720","-",513,1755
"Pc2113T1C00000653g0000010","+",NA,2625
"Pc2113T1C00002466g0000730","+",513,599
"Pc2113T1C00002466g0000740","+",599,299
"Pc2113T1C00002466g0000750","+",299,199
"Pc2113T1C00002466g0000760","+",199,127
"Pc2113T1C00002466g0000780","-",543,887
"Pc2113T1C00002466g0000770","+",127,887
"Pc2113T1C00002466g0000790","-",236,543
"Pc2113T1C00002466g0000800","+",236,129
"Pc2113T1C00002466g0000810","+",129,1101
"Pc2113T1C00002466g0000820","+",1101,260
"Pc2113T1C00000653g0000020","+",2625,1735
"Pc2113T1C00002466g0000830","+",260,207
"Pc2113T1C00002466g0000840","-",445,207
"Pc2113T1C00002466g0000860","-",326,2640
"Pc2113T1C00002466g0000850","+",445,2640
"Pc2113T1C00002466g0000880","-",2915,326
"Pc2113T1C00002466g0000890","-",972,2915
"Pc2113T1C00002466g0000870","+",326,2915
"Pc2113T1C00002466g0000900","-",189,972
"Pc2113T1C00002466g0000910","-",855,189
"Pc2113T1C00002466g0000930","-",1491,266
"Pc2113T1C00002466g0000920","+",855,266
"Pc2113T1C00002466g0000940","-",288,1491
"Pc2113T1C00000653g0000030","+",1735,1057
"Pc2113T1C00002466g0000950","+",288,1128
"Pc2113T1C00002466g0000960","+",1128,454
"Pc2113T1C00002466g0000970","-",2954,454
"Pc2113T1C00002466g0000980","-",3373,2954
"Pc2113T1C00002466g0000990","+",3373,222
"Pc2113T1C00002466g0001000","+",222,1085
"Pc2113T1C00002466g0001010","+",1085,86
"Pc2113T1C00002466g0001020","-",229,86
"Pc2113T1C00002466g0001040","-",308,498
"Pc2113T1C00002466g0001030","+",229,498
"Pc2113T1C00000662g0000010","+",NA,1285
"Pc2113T1C00002466g0001050","+",308,1813
"Pc2113T1C00002466g0001070","-",4965,101
"Pc2113T1C00002466g0001060","+",1813,101
"Pc2113T1C00002466g0001080","-",58,4965
"Pc2113T1C00002466g0001100","-",153,170
"Pc2113T1C00002466g0001090","+",58,170
"Pc2113T1C00002466g0001110","+",153,575
"Pc2113T1C00002466g0001120","-",649,575
"Pc2113T1C00002466g0001130","-",1554,649
"Pc2113T1C00002466g0001140","-",45520,1554
"Pc2113T1C00000662g0000020","+",1285,526
"Pc2113T1C00000662g0000030","-",685,526
"Pc2113T1C00002466g0001160","-",883,1531
"Pc2113T1C00002466g0001150","+",45520,1531
"Pc2113T1C00002466g0001170","-",13826,883
"Pc2113T1C00002466g0001180","+",13826,380
"Pc2113T1C00002466g0001190","+",380,360
"Pc2113T1C00002466g0001200","-",232,360
"Pc2113T1C00002466g0001210","-",623,232
"Pc2113T1C00002466g0001220","+",623,431
"Pc2113T1C00002466g0001230","+",431,3238
"Pc2113T1C00002466g0001240","-",144,3238
"Pc2113T1C00000662g0000040","-",1374,685
"Pc2113T1C00002466g0001250","+",144,8608
"Pc2113T1C00002466g0001260","+",8608,226
"Pc2113T1C00002466g0001270","+",226,278
"Pc2113T1C00002466g0001280","-",272,278
"Pc2113T1C00002466g0001300","-",540,226
"Pc2113T1C00002466g0001290","+",272,226
"Pc2113T1C00002466g0001310","-",24259,540
"Pc2113T1C00002466g0001320","-",3444,24259
"Pc2113T1C00002466g0001330","+",3444,20315
"Pc2113T1C00002466g0001340","+",20315,509
"Pc2113T1C00002466g0001350","+",509,22
"Pc2113T1C00002466g0001360","+",22,537
"Pc2113T1C00002466g0001370","+",537,135
"Pc2113T1C00002466g0001380","+",135,466
"Pc2113T1C00002466g0001390","-",172,466
"Pc2113T1C00002466g0001400","+",172,1201
"Pc2113T1C00002466g0001410","+",1201,43
"Pc2113T1C00002466g0001420","-",4237,43
"Pc2113T1C00002466g0001430","-",1326,4237
"Pc2113T1C00000662g0000050","+",1374,5223
"Pc2113T1C00000662g0000060","-",2137,5223
"Pc2113T1C00002466g0001440","+",1326,799
"Pc2113T1C00002466g0001450","-",230,799
"Pc2113T1C00002466g0001460","+",230,1652
"Pc2113T1C00002466g0001470","+",1652,254
"Pc2113T1C00002466g0001480","+",254,1541
"Pc2113T1C00002466g0001490","+",1541,1763
"Pc2113T1C00002466g0001500","-",2848,1763
"Pc2113T1C00002466g0001510","-",935,2848
"Pc2113T1C00002466g0001520","+",935,185
"Pc2113T1C00002466g0001530","+",185,4383
"Pc2113T1C00002466g0001540","-",600,4383
"Pc2113T1C00002466g0001550","+",600,9805
"Pc2113T1C00002466g0001560","-",NA,9805
"Pc2113T1C00002468g0000010","+",NA,51122
"Pc2113T1C00002468g0000020","+",51122,30213
"Pc2113T1C00002468g0000030","+",30213,2174
"Pc2113T1C00002468g0000040","+",2174,161
"Pc2113T1C00002468g0000050","-",140,161
"Pc2113T1C00002468g0000060","-",3416,140
"Pc2113T1C00002468g0000070","-",1040,3416
"Pc2113T1C00002468g0000090","-",977,669
"Pc2113T1C00002468g0000080","+",1040,669
"Pc2113T1C00000662g0000070","+",2137,1119
"Pc2113T1C00002468g0000100","+",977,207
"Pc2113T1C00002468g0000120","-",104,258
"Pc2113T1C00002468g0000110","+",207,258
"Pc2113T1C00002468g0000130","-",528,104
"Pc2113T1C00002468g0000140","-",113,528
"Pc2113T1C00002468g0000150","-",3432,113
"Pc2113T1C00002468g0000160","-",107,3432
"Pc2113T1C00002468g0000170","+",107,352
"Pc2113T1C00002468g0000180","+",352,241
"Pc2113T1C00000662g0000080","+",1119,2833
"Pc2113T1C00002468g0000190","+",241,1108
"Pc2113T1C00002468g0000200","+",1108,224
"Pc2113T1C00002468g0000210","+",224,205
"Pc2113T1C00002468g0000230","-",186,138
"Pc2113T1C00002468g0000220","+",205,138
"Pc2113T1C00002468g0000240","-",221,186
"Pc2113T1C00002468g0000250","+",221,5550
"Pc2113T1C00002468g0000260","+",5550,642
"Pc2113T1C00002468g0000270","+",642,228
"Pc2113T1C00002468g0000280","+",228,292
"Pc2113T1C00000136g0000090","+",14605,56910
"Pc2113T1C00000662g0000090","+",2833,1303
"Pc2113T1C00002468g0000290","+",292,559
"Pc2113T1C00002468g0000310","-",195,2407
"Pc2113T1C00002468g0000300","+",559,2407
"Pc2113T1C00002468g0000330","-",215,2440
"Pc2113T1C00002468g0000320","+",195,2440
"Pc2113T1C00002468g0000340","-",236,215
"Pc2113T1C00002468g0000350","+",236,137
"Pc2113T1C00002468g0000360","-",1552,137
"Pc2113T1C00002468g0000370","-",248,1552
"Pc2113T1C00002468g0000380","+",248,291
"Pc2113T1C00000662g0000100","+",1303,758
"Pc2113T1C00002468g0000390","+",291,74
"Pc2113T1C00002468g0000400","-",307,74
"Pc2113T1C00002468g0000410","-",119,307
"Pc2113T1C00002468g0000430","-",1752,146
"Pc2113T1C00002468g0000420","+",119,146
"Pc2113T1C00002468g0000440","+",1752,1820
"Pc2113T1C00002468g0000460","-",225,140
"Pc2113T1C00002468g0000450","+",1820,140
"Pc2113T1C00002468g0000470","+",225,20049
"Pc2113T1C00002468g0000490","-",126,69
"Pc2113T1C00002468g0000480","+",20049,69
"Pc2113T1C00000662g0000120","-",2486,97
"Pc2113T1C00000662g0000110","+",758,97
"Pc2113T1C00002468g0000500","-",824,126
"Pc2113T1C00002468g0000510","-",1164,824
"Pc2113T1C00002468g0000520","-",271,1164
"Pc2113T1C00002468g0000530","-",2809,271
"Pc2113T1C00002468g0000540","-",708,2809
"Pc2113T1C00002468g0000550","-",2272,708
"Pc2113T1C00002468g0000570","-",302,3164
"Pc2113T1C00002468g0000560","+",2272,3164
"Pc2113T1C00002468g0000580","-",1742,302
"Pc2113T1C00002468g0000590","-",755,1742
"Pc2113T1C00002468g0000600","-",1137,755
"Pc2113T1C00002468g0000610","-",127,1137
"Pc2113T1C00002468g0000630","-",590,402
"Pc2113T1C00002468g0000620","+",127,402
"Pc2113T1C00002468g0000650","-",249,153
"Pc2113T1C00002468g0000640","+",590,153
"Pc2113T1C00002468g0000660","+",249,143
"Pc2113T1C00002468g0000670","+",143,345
"Pc2113T1C00002468g0000680","-",197,345
"Pc2113T1C00000662g0000130","+",2486,96
"Pc2113T1C00000662g0000140","-",186,96
"Pc2113T1C00002468g0000690","+",197,81
"Pc2113T1C00002468g0000700","-",273,81
"Pc2113T1C00002468g0000710","-",202,273
"Pc2113T1C00002468g0000720","-",3023,202
"Pc2113T1C00002468g0000730","-",1203,3023
"Pc2113T1C00002468g0000750","-",124,160
"Pc2113T1C00002468g0000740","+",1203,160
"Pc2113T1C00002468g0000760","+",124,122
"Pc2113T1C00002468g0000770","+",122,945
"Pc2113T1C00002468g0000780","-",222,945
"Pc2113T1C00002468g0000800","-",2692,1256
"Pc2113T1C00002468g0000790","+",222,1256
"Pc2113T1C00002468g0000810","+",2692,1891
"Pc2113T1C00002468g0000830","-",26,148
"Pc2113T1C00002468g0000820","+",1891,148
"Pc2113T1C00002468g0000840","-",317,26
"Pc2113T1C00002468g0000850","-",319,317
"Pc2113T1C00002468g0000860","-",714,319
"Pc2113T1C00002468g0000870","-",2597,714
"Pc2113T1C00002468g0000880","+",2597,643
"Pc2113T1C00000662g0000160","-",125,180
"Pc2113T1C00000662g0000150","+",186,180
"Pc2113T1C00002468g0000900","-",110,223
"Pc2113T1C00002468g0000890","+",643,223
"Pc2113T1C00002468g0000910","+",110,1216
"Pc2113T1C00002468g0000930","-",357,2408
"Pc2113T1C00002468g0000920","+",1216,2408
"Pc2113T1C00002468g0000940","-",308,357
"Pc2113T1C00002468g0000960","-",4274,260
"Pc2113T1C00002468g0000950","+",308,260
"Pc2113T1C00002468g0000970","+",4274,14
"Pc2113T1C00002468g0000990","-",197,207
"Pc2113T1C00002468g0000980","+",14,207
"Pc2113T1C00002468g0001000","-",299,197
"Pc2113T1C00002468g0001020","-",2342,561
"Pc2113T1C00002468g0001010","+",299,561
"Pc2113T1C00002468g0001030","+",2342,482
"Pc2113T1C00002468g0001040","+",482,165
"Pc2113T1C00002468g0001050","-",2902,165
"Pc2113T1C00002468g0001060","+",2902,770
"Pc2113T1C00002468g0001080","-",732,282
"Pc2113T1C00002468g0001070","+",770,282
"Pc2113T1C00000662g0000170","+",125,74
"Pc2113T1C00002468g0001090","+",732,312
"Pc2113T1C00002468g0001110","-",815,377
"Pc2113T1C00002468g0001100","+",312,377
"Pc2113T1C00002468g0001120","-",166,815
"Pc2113T1C00002468g0001130","+",166,134
"Pc2113T1C00002468g0001140","-",180,134
"Pc2113T1C00002468g0001150","-",692,180
"Pc2113T1C00002468g0001160","-",4628,692
"Pc2113T1C00002468g0001170","-",3950,4628
"Pc2113T1C00002468g0001180","-",362,3950
"Pc2113T1C00002468g0001190","-",131,362
"Pc2113T1C00000662g0000180","+",74,51411
"Pc2113T1C00002468g0001200","+",131,2287
"Pc2113T1C00002468g0001220","-",124,122
"Pc2113T1C00002468g0001210","+",2287,122
"Pc2113T1C00002468g0001240","-",502,446
"Pc2113T1C00002468g0001230","+",124,446
"Pc2113T1C00002468g0001260","-",153,576
"Pc2113T1C00002468g0001250","+",502,576
"Pc2113T1C00002468g0001270","-",21,153
"Pc2113T1C00002468g0001280","-",1636,21
"Pc2113T1C00002468g0001290","-",2651,1636
"Pc2113T1C00000017g0000050","+",52068,2663
"Pc2113T1C00000017g0000060","-",NA,2663
"Pc2113T1C00000136g0000100","+",56910,101710
"Pc2113T1C00000136g0000110","-",6846,101710
"Pc2113T1C00000662g0000190","+",51411,2260
"Pc2113T1C00000662g0000200","-",897,2260
"Pc2113T1C00002468g0001300","-",19,2651
"Pc2113T1C00002468g0001310","-",6102,19
"Pc2113T1C00002468g0001320","-",25980,6102
"Pc2113T1C00002468g0001330","+",25980,2292
"Pc2113T1C00002468g0001350","-",11552,4601
"Pc2113T1C00002468g0001340","+",2292,4601
"Pc2113T1C00002468g0001360","-",1,11552
"Pc2113T1C00002468g0001370","-",3022,1
"Pc2113T1C00002468g0001380","+",3022,11435
"Pc2113T1C00002468g0001390","+",11435,253
"Pc2113T1C00002468g0001410","-",186,81
"Pc2113T1C00002468g0001400","+",253,81
"Pc2113T1C00002468g0001420","+",186,400
"Pc2113T1C00002468g0001430","+",400,5728
"Pc2113T1C00002468g0001440","+",5728,1196
"Pc2113T1C00002468g0001450","-",342,1196
"Pc2113T1C00002468g0001460","+",342,62
"Pc2113T1C00002468g0001470","-",240,62
"Pc2113T1C00002468g0001480","-",183,240
"Pc2113T1C00002468g0001490","-",95,183
"Pc2113T1C00000662g0000220","-",1854,1655
"Pc2113T1C00000662g0000210","+",897,1655
"Pc2113T1C00002468g0001510","-",289,17
"Pc2113T1C00002468g0001500","+",95,17
"Pc2113T1C00002468g0001520","+",289,763
"Pc2113T1C00002468g0001530","+",763,3355
"Pc2113T1C00002468g0001540","+",3355,37
"Pc2113T1C00002468g0001550","+",37,2160
"Pc2113T1C00002468g0001570","-",645,258
"Pc2113T1C00002468g0001560","+",2160,258
"Pc2113T1C00002468g0001580","-",1974,645
"Pc2113T1C00002468g0001590","-",1818,1974
"Pc2113T1C00002468g0001600","-",288,1818
"Pc2113T1C00002468g0001610","-",1235,288
"Pc2113T1C00002468g0001630","-",2073,18818
"Pc2113T1C00002468g0001620","+",1235,18818
"Pc2113T1C00002468g0001640","-",1118,2073
"Pc2113T1C00002468g0001650","-",1291,1118
"Pc2113T1C00002468g0001660","+",1291,275
"Pc2113T1C00002468g0001670","+",275,240
"Pc2113T1C00002468g0001680","+",240,175
"Pc2113T1C00002468g0001690","-",62,175
"Pc2113T1C00000662g0000230","+",1854,743
"Pc2113T1C00002468g0001700","-",938,62
"Pc2113T1C00002468g0001710","+",938,24
"Pc2113T1C00002468g0001720","-",1636,24
"Pc2113T1C00002468g0001730","+",1636,106
"Pc2113T1C00002468g0001740","-",2628,106
"Pc2113T1C00002468g0001750","+",2628,3700
"Pc2113T1C00002468g0001760","+",3700,14
"Pc2113T1C00002468g0001770","+",14,1960
"Pc2113T1C00002468g0001790","-",172,692
"Pc2113T1C00002468g0001780","+",1960,692
"Pc2113T1C00000662g0000240","+",743,111
"Pc2113T1C00002468g0001800","+",172,453
"Pc2113T1C00002468g0001820","-",453,550
"Pc2113T1C00002468g0001810","+",453,550
"Pc2113T1C00002468g0001830","-",26526,453
"Pc2113T1C00002468g0001840","-",19601,26526
"Pc2113T1C00002468g0001850","-",48270,19601
"Pc2113T1C00002468g0001860","-",8844,48270
"Pc2113T1C00002468g0001870","-",1166,8844
"Pc2113T1C00002468g0001880","+",1166,3044
"Pc2113T1C00000662g0000250","+",111,355
"Pc2113T1C00000662g0000260","-",78,355
"Pc2113T1C00002468g0001890","+",3044,32
"Pc2113T1C00002468g0001900","-",780,32
"Pc2113T1C00002468g0001910","-",133,780
"Pc2113T1C00002468g0001920","-",4069,133
"Pc2113T1C00002468g0001930","+",4069,291
"Pc2113T1C00002468g0001950","-",4077,4112
"Pc2113T1C00002468g0001940","+",291,4112
"Pc2113T1C00002468g0001960","-",3731,4077
"Pc2113T1C00002468g0001970","-",89,3731
"Pc2113T1C00002468g0001980","-",908,89
"Pc2113T1C00002468g0001990","+",908,9454
"Pc2113T1C00002468g0002010","-",229,57
"Pc2113T1C00002468g0002000","+",9454,57
"Pc2113T1C00002468g0002020","+",229,126
"Pc2113T1C00002468g0002030","-",2076,126
"Pc2113T1C00002468g0002040","-",25,2076
"Pc2113T1C00002468g0002050","-",1982,25
"Pc2113T1C00002468g0002060","-",77,1982
"Pc2113T1C00002468g0002070","-",2976,77
"Pc2113T1C00002468g0002080","-",16,2976
"Pc2113T1C00002468g0002090","-",6681,16
"Pc2113T1C00000662g0000270","+",78,278
"Pc2113T1C00000662g0000280","-",NA,278
"Pc2113T1C00002468g0002100","-",3616,6681
"Pc2113T1C00002468g0002110","+",3616,190
"Pc2113T1C00002468g0002120","-",5954,190
"Pc2113T1C00002468g0002130","+",5954,157
"Pc2113T1C00002468g0002140","+",157,156
"Pc2113T1C00002468g0002150","-",662,156
"Pc2113T1C00002468g0002160","+",662,350
"Pc2113T1C00002468g0002170","-",6626,350
"Pc2113T1C00002468g0002180","-",1301,6626
"Pc2113T1C00002468g0002190","-",448,1301
"Pc2113T1C00000665g0000020","-",3378,61
"Pc2113T1C00002468g0002200","+",448,169
"Pc2113T1C00002468g0002210","+",169,577
"Pc2113T1C00002468g0002220","-",386,577
"Pc2113T1C00002468g0002230","-",1096,386
"Pc2113T1C00002468g0002250","-",5108,271
"Pc2113T1C00002468g0002240","+",1096,271
"Pc2113T1C00002468g0002260","+",5108,66
"Pc2113T1C00002468g0002270","-",244,66
"Pc2113T1C00002468g0002280","+",244,75
"Pc2113T1C00002468g0002290","-",536,75
"Pc2113T1C00000136g0000120","-",745,6846
"Pc2113T1C00000665g0000030","-",4012,3378
"Pc2113T1C00002468g0002300","-",2682,536
"Pc2113T1C00002468g0002310","+",2682,364
"Pc2113T1C00002468g0002320","+",364,384
"Pc2113T1C00002468g0002330","+",384,205
"Pc2113T1C00002468g0002340","+",205,190
"Pc2113T1C00002468g0002360","-",180,175
"Pc2113T1C00002468g0002350","+",190,175
"Pc2113T1C00002468g0002370","+",180,286
"Pc2113T1C00002468g0002380","+",286,2442
"Pc2113T1C00002468g0002390","-",1984,2442
"Pc2113T1C00002468g0002400","+",1984,230
"Pc2113T1C00002468g0002410","+",230,4789
"Pc2113T1C00002468g0002430","-",2673,112
"Pc2113T1C00002468g0002420","+",4789,112
"Pc2113T1C00002468g0002440","+",2673,161
"Pc2113T1C00002468g0002460","-",319,217
"Pc2113T1C00002468g0002450","+",161,217
"Pc2113T1C00002468g0002480","-",2391,225
"Pc2113T1C00002468g0002470","+",319,225
"Pc2113T1C00002468g0002490","-",2700,2391
"Pc2113T1C00000665g0000040","+",4012,106
"Pc2113T1C00000665g0000050","-",281,106
"Pc2113T1C00002468g0002500","-",930,2700
"Pc2113T1C00002468g0002520","-",171,105
"Pc2113T1C00002468g0002510","+",930,105
"Pc2113T1C00002468g0002530","-",652,171
"Pc2113T1C00002468g0002540","+",652,109
"Pc2113T1C00002468g0002550","-",126,109
"Pc2113T1C00002468g0002560","+",126,138
"Pc2113T1C00002468g0002570","+",138,45
"Pc2113T1C00002468g0002580","-",2705,45
"Pc2113T1C00002468g0002590","+",2705,3441
"Pc2113T1C00002468g0002600","+",3441,232
"Pc2113T1C00002468g0002610","-",1515,232
"Pc2113T1C00002468g0002630","-",2580,892
"Pc2113T1C00002468g0002620","+",1515,892
"Pc2113T1C00002468g0002650","-",353,200
"Pc2113T1C00002468g0002640","+",2580,200
"Pc2113T1C00002468g0002670","-",535,88
