Orthogroup,P_capsici,P_fragariae,P_infestans,P_parasitica,P_ramorum,P_sojae,Pc2109,Pc2113
OG0008773,KAG1696236.1,KAE8901775.1,PITG_07016,PPTG_16517T0,2507661521,EGZ25755,Pc2109T1C00002419g0001560.1,Pc2113T1C00002335g0001920.1
OG0008774,KAG1696240.1,KAE8901737.1,PITG_07012,PPTG_16520T0,2507661518,EGZ25752,Pc2109T1C00002419g0001530.1,Pc2113T1C00002335g0001890.1
OG0008775,KAG1696241.1,KAE8901736.1,PITG_07011,PPTG_16522T0,2507661517,EGZ25751,Pc2109T1C00002419g0001520.1,Pc2113T1C00002335g0001880.1
OG0008776,KAG1696242.1,KAE8901735.1,PITG_07010,PPTG_16523T0,2507661516,EGZ25750,Pc2109T1C00002419g0001510.1,Pc2113T1C00002335g0001870.1
OG0008777,KAG1696244.1,KAE8901594.1,PITG_07008,PPTG_16525T0,2507661515,EGZ25748,Pc2109T1C00002419g0001490.1,Pc2113T1C00002335g0001850.1
OG0008778,KAG1696246.1,KAE8901595.1,PITG_07006,PPTG_16527T0,2507661514,EGZ25746,Pc2109T1C00002419g0001480.1,Pc2113T1C00002335g0001840.1
OG0008780,KAG1696279.1,KAE8901568.1,PITG_06991,PPTG_16536T0,2507661508,EGZ25736,Pc2109T1C00002419g0001430.1,Pc2113T1C00002335g0001790.1
OG0008782,KAG1696282.1,KAE8901569.1,PITG_06987,PPTG_16539T0,2507661506,EGZ25733,Pc2109T1C00002419g0001410.1,Pc2113T1C00002335g0001770.1
OG0008783,KAG1696284.1,KAE8901563.1,PITG_06985,PPTG_16541T0,2507661504,EGZ25732,Pc2109T1C00002419g0001390.1,Pc2113T1C00002335g0001730.1
OG0008784,KAG1696285.1,KAE8901566.1,PITG_06984,PPTG_16542T0,2507661503,EGZ25731,Pc2109T1C00002419g0001380.1,Pc2113T1C00002335g0001720.1
OG0008786,KAG1696295.1,KAE8901284.1,PITG_22810,PPTG_16554T0,2507661491,EGZ25696,Pc2109T1C00002419g0001240.1,Pc2113T1C00002335g0001560.1
OG0008789,KAG1696303.1,KAE8901402.1,PITG_06966,PPTG_16562T0,2507661485,EGZ25663,Pc2109T1C00002419g0001140.1,Pc2113T1C00002335g0001480.1
OG0008791,KAG1696307.1,KAE8901474.1,PITG_06963,PPTG_16565T0,2507661482,EGZ25666,Pc2109T1C00002419g0001110.1,Pc2113T1C00002335g0001460.1
OG0008792,KAG1696375.1,KAE8909062.1,PITG_09876,PPTG_18769T0,2507658475,EGZ21850,Pc2109T1C00003112g0000150.1,Pc2113T1C00000567g0000100.1
OG0008802,KAG1696533.1,KAE8883807.1,PITG_01832,PPTG_00987T0,2507655303,EGZ21089,Pc2109T1C00002718g0000350.1,Pc2113T1C00002253g0000680.1
OG0008803,KAG1696534.1,KAE8883804.1,PITG_01833,PPTG_00988T0,2507655302,EGZ21090,Pc2109T1C00002718g0000340.1,Pc2113T1C00002253g0000670.1
OG0008804,KAG1696544.1,KAE8883959.1,PITG_01840,PPTG_00994T0,2507655297,EGZ21095,Pc2109T1C00002718g0000190.1,Pc2113T1C00002253g0000470.1
OG0008805,KAG1696556.1,KAE8883773.1,PITG_01846,PPTG_01003T0,2507655294,EGZ21109,Pc2109T1C00002718g0000230.1,Pc2113T1C00002253g0000550.1
OG0008806,KAG1696558.1,KAE8883775.1,PITG_01848,PPTG_01005T0,2507655292,EGZ21111,Pc2109T1C00002718g0000210.1,Pc2113T1C00002253g0000520.1
OG0008807,KAG1696559.1,KAE8883776.1,PITG_01849,PPTG_01006T0,2507655291,EGZ21112,Pc2109T1C00002718g0000200.1,Pc2113T1C00002253g0000510.1
OG0008808,KAG1696564.1,KAE8883857.1,PITG_01851,PPTG_01013T0,2507655289,EGZ21116,Pc2109T1C00002718g0000150.1,Pc2113T1C00002253g0000440.1
OG0008812,KAG1696835.1,KAE8880423.1,PITG_04377,PPTG_17783T0,2507665011,EGZ08012,Pc2109T1C00002434g0000090.1,Pc2113T1C00001523g0000070.1
OG0008814,KAG1696842.1,KAE8880421.1,PITG_04381,PPTG_07558T0,2507665014,EGZ08004,Pc2109T1C00002434g0000160.1,Pc2113T1C00001536g0000140.1
OG0008815,KAG1696843.1,KAE8880321.1,PITG_04382,PPTG_17766T0,2507665018,EGZ08001,Pc2109T1C00002434g0000190.1,Pc2113T1C00001536g0000110.1
OG0008819,KAG1697013.1,KAE8915637.1,PITG_17156,PPTG_01338T0,2507658355,EGZ17505,Pc2109T1C00003208g0000040.1,Pc2113T1C00002515g0000740.1
OG0008820,KAG1697015.1,KAE8915175.1,PITG_17158,PPTG_01336T0,2507658353,EGZ17507,Pc2109T1C00003208g0000060.1,Pc2113T1C00002515g0000720.1
OG0008821,KAG1697016.1,KAE8915174.1,PITG_17159,PPTG_01335T0,2507658352,EGZ17508,Pc2109T1C00003208g0000070.1,Pc2113T1C00002515g0000710.1
OG0008822,KAG1697019.1,KAE8915177.1,PITG_17167,PPTG_01327T0,2507658347,EGZ17512,Pc2109T1C00003208g0000110.1,Pc2113T1C00002515g0000660.1
OG0008823,KAG1697021.1,KAE8915182.1,PITG_17168,PPTG_01326T0,2507658346,EGZ17514,Pc2109T1C00003208g0000130.1,Pc2113T1C00002515g0000640.1
OG0008824,KAG1697037.1,KAE8915950.1,PITG_14007,PPTG_01304T0,2507658333,EGZ17550,Pc2109T1C00003208g0000310.1,Pc2113T1C00002515g0000460.1
OG0008825,KAG1697038.1,KAE8915951.1,PITG_14008,PPTG_01305T0,2507658334,EGZ17549,Pc2109T1C00003208g0000300.1,Pc2113T1C00002515g0000470.1
OG0008826,KAG1697051.1,KAE8915046.1,PITG_14002,PPTG_01295T0,2507658325,EGZ17559,Pc2109T1C00002965g0000030.1,Pc2113T1C00002515g0000360.1
OG0008827,KAG1697052.1,KAE8915786.1,PITG_14001,PPTG_01294T0,2507658324,EGZ17569,Pc2109T1C00002965g0000040.1,Pc2113T1C00002515g0000350.1
OG0008828,KAG1697054.1,KAE8915783.1,PITG_13999,PPTG_01292T0,2507658322,EGZ17565,Pc2109T1C00002965g0000060.1,Pc2113T1C00002515g0000330.1
OG0008829,KAG1697056.1,KAE8915790.1,PITG_13997,PPTG_01290T0,2507658321,EGZ17563,Pc2109T1C00002965g0000070.1,Pc2113T1C00002515g0000320.1
OG0008830,KAG1697063.1,KAE8915791.1,PITG_13991,PPTG_01288T0,2507658318,EGZ17576,Pc2109T1C00002965g0000110.1,Pc2113T1C00002515g0000260.1
OG0008831,KAG1697065.1,KAE8915345.1,PITG_13986,PPTG_01282T0,2507658316,EGZ17579,Pc2109T1C00002965g0000140.1,Pc2113T1C00002515g0000240.1
OG0008832,KAG1697067.1,KAE8915348.1,PITG_13988,PPTG_01280T0,2507658315,EGZ17580,Pc2109T1C00002965g0000150.1,Pc2113T1C00002515g0000230.1
OG0008833,KAG1697071.1,KAE8914945.1,PITG_13977,PPTG_01276T0,2507658312,EGZ17600,Pc2109T1C00002965g0000190.1,Pc2113T1C00002515g0000190.1
OG0008834,KAG1697072.1,KAE8915340.1,PITG_13976,PPTG_01275T0,2507658313,EGZ17599,Pc2109T1C00002965g0000180.1,Pc2113T1C00002515g0000200.1
OG0008835,KAG1697073.1,KAE8915339.1,PITG_13972,PPTG_01273T0,2507658314,EGZ17598,Pc2109T1C00002965g0000170.1,Pc2113T1C00002515g0000210.1
OG0008836,KAG1697080.1,KAE8915270.1,PITG_13968,PPTG_18566T0,2507658308,EGZ17588,Pc2109T1C00002654g0000820.1,Pc2113T1C00002515g0000140.1
OG0008837,KAG1697087.1,KAE8915080.1,PITG_13924,PPTG_18558T0,2507658306,EGZ17620,Pc2109T1C00002654g0000710.1,Pc2113T1C00000423g0001230.1
OG0008838,KAG1697088.1,KAE8915079.1,PITG_13925,PPTG_18559T0,2507658305,EGZ17618,Pc2109T1C00002654g0000720.1,Pc2113T1C00000423g0001240.1
OG0008839,KAG1697094.1,KAE8915081.1,PITG_13923,PPTG_18556T0,2507658302,EGZ17624,Pc2109T1C00002654g0000680.1,Pc2113T1C00000423g0001200.1
OG0008840,KAG1697098.1,KAE8915823.1,PITG_13922,PPTG_18555T0,2507658303,EGZ17625,Pc2109T1C00002654g0000670.1,Pc2113T1C00000423g0001180.1
OG0008841,KAG1697115.1,KAE8878635.1,PITG_13914,PPTG_01257T0,2507658295,EGZ17648,Pc2109T1C00001067g0000030.1,Pc2113T1C00000423g0001020.1
OG0008844,KAG1697144.1,KAE8878645.1,PITG_13905,PPTG_01253T0,2507658286,EGZ17660,Pc2109T1C00003137g0000040.1,Pc2113T1C00000423g0000930.1
OG0008845,KAG1697152.1,KAE8878660.1,PITG_13897,PPTG_01246T0,2507658281,EGZ17668,Pc2109T1C00002654g0000370.1,Pc2113T1C00000423g0000860.1
OG0008846,KAG1697153.1,KAE8878638.1,PITG_13896,PPTG_01245T0,2507658280,EGZ17669,Pc2109T1C00002654g0000360.1,Pc2113T1C00000423g0000850.1
OG0008847,KAG1697154.1,KAE8878721.1,PITG_13895,PPTG_01244T0,2507658279,EGZ17670,Pc2109T1C00002654g0000350.1,Pc2113T1C00000423g0000840.1
OG0008848,KAG1697155.1,KAE8878594.1,PITG_13894,PPTG_01243T0,2507658278,EGZ17672,Pc2109T1C00002654g0000330.1,Pc2113T1C00000423g0000820.1
OG0008849,KAG1697156.1,KAE8878593.1,PITG_13893,PPTG_01242T0,2507658277,EGZ17673,Pc2109T1C00002654g0000320.1,Pc2113T1C00000423g0000810.1
OG0008850,KAG1697157.1,KAE8878592.1,PITG_13892,PPTG_01241T0,2507658276,EGZ17674,Pc2109T1C00002654g0000310.1,Pc2113T1C00000423g0000800.1
OG0008851,KAG1697158.1,KAE8878591.1,PITG_13891,PPTG_01240T0,2507658275,EGZ17675,Pc2109T1C00002654g0000300.1,Pc2113T1C00000423g0000790.1
OG0008854,KAG1697413.1,KAE8885508.1,PITG_09747,PPTG_00400T0,2507664294,EGZ15177,Pc2109T1C00002467g0000520.1,Pc2113T1C00002364g0000480.1
OG0008856,KAG1697425.1,KAE8894712.1,PITG_21182,PPTG_00390T0,2507664303,EGZ15191,Pc2109T1C00002467g0000400.1,Pc2113T1C00002364g0000600.1
OG0008858,KAG1697480.1,KAE8876869.1,PITG_03850,PPTG_18974T0,2507665773,EGZ28774,Pc2109T1C00002706g0000070.1,Pc2113T1C00002348g0000050.1
OG0008859,KAG1697482.1,KAE8876863.1,PITG_03852,PPTG_18972T0,2507665775,EGZ28777,Pc2109T1C00002706g0000080.1,Pc2113T1C00002348g0000070.1
OG0008860,KAG1697485.1,KAE8876835.1,PITG_03854,PPTG_18970T0,2507665777,EGZ28779,Pc2109T1C00002706g0000100.1,Pc2113T1C00002348g0000090.1
OG0008861,KAG1697488.1,KAE8876841.1,PITG_03855,PPTG_18968T0,2507665779,EGZ28781,Pc2109T1C00002706g0000120.1,Pc2113T1C00002348g0000110.1
OG0008862,KAG1697489.1,KAE8876842.1,PITG_03856,PPTG_18967T0,2507665781,EGZ28785,Pc2109T1C00002706g0000130.1,Pc2113T1C00002348g0000130.1
OG0008863,KAG1697490.1,KAE8876839.1,PITG_03858,PPTG_18965T0,2507665783,EGZ28787,Pc2109T1C00002706g0000150.1,Pc2113T1C00002348g0000150.1
OG0008864,KAG1697502.1,KAE8884209.1,PITG_03867,PPTG_04983T0,2507665310,EGZ28807,Pc2109T1C00002707g0000150.1,Pc2113T1C00002349g0000020.1
OG0008865,KAG1697508.1,KAE8884022.1,PITG_03873,PPTG_04978T0,2507665795,EGZ28813,Pc2109T1C00002707g0000200.1,Pc2113T1C00002349g0000080.1
OG0008866,KAG1697509.1,KAE8884020.1,PITG_03874,PPTG_04977T0,2507665796,EGZ28820,Pc2109T1C00003068g0001110.1,Pc2113T1C00002350g0000040.1
OG0008867,KAG1697510.1,KAE8884129.1,PITG_03875,PPTG_04976T0,2507665797,EGZ28819,Pc2109T1C00003068g0001100.1,Pc2113T1C00002350g0000050.1
OG0008868,KAG1697511.1,KAE8884018.1,PITG_03876,PPTG_04975T0,2507665798,EGZ28818,Pc2109T1C00003068g0001090.1,Pc2113T1C00002350g0000060.1
OG0008869,KAG1697512.1,KAE8884019.1,PITG_03877,PPTG_04974T0,2507665799,EGZ28817,Pc2109T1C00003068g0001080.1,Pc2113T1C00002350g0000070.1
OG0008870,KAG1697513.1,KAE8884016.1,PITG_03878,PPTG_04973T0,2507665800,EGZ28829,Pc2109T1C00003068g0001070.1,Pc2113T1C00002350g0000080.1
OG0008871,KAG1697515.1,KAE8884158.1,PITG_03880,PPTG_04971T0,2507665802,EGZ28833,Pc2109T1C00003068g0001030.1,Pc2113T1C00002350g0000120.1
OG0008873,KAG1697523.1,KAE8884150.1,PITG_03886,PPTG_04965T0,2507665807,EGZ28839,Pc2109T1C00003068g0000970.1,Pc2113T1C00002350g0000180.1
OG0008874,KAG1697536.1,KAE8884054.1,PITG_03897,PPTG_04952T0,2507663902,EGZ28882,Pc2109T1C00003068g0000830.1,Pc2113T1C00002350g0000320.1
OG0008875,KAG1697537.1,KAE8884055.1,PITG_03898,PPTG_04951T0,2507663901,EGZ28881,Pc2109T1C00003068g0000820.1,Pc2113T1C00002350g0000330.1
OG0008876,KAG1697538.1,KAE8884056.1,PITG_03899,PPTG_04950T0,2507663900,EGZ28880,Pc2109T1C00003068g0000810.1,Pc2113T1C00002350g0000340.1
OG0008877,KAG1697541.1,KAE8884206.1,PITG_03902,PPTG_04945T0,2507663898,EGZ28878,Pc2109T1C00003068g0000780.1,Pc2113T1C00002350g0000370.1
OG0008878,KAG1697542.1,KAE8884205.1,PITG_03903,PPTG_04944T0,2507663897,EGZ28877,Pc2109T1C00003068g0000770.1,Pc2113T1C00002350g0000380.1
OG0008879,KAG1697546.1,KAE8884200.1,PITG_03907,PPTG_04939T0,2507663893,EGZ05673,Pc2109T1C00003068g0000720.1,Pc2113T1C00002350g0000430.1
OG0008880,KAG1697547.1,KAE8884199.1,PITG_03908,PPTG_04938T0,2507663892,EGZ05674,Pc2109T1C00003068g0000710.1,Pc2113T1C00002350g0000440.1
OG0008882,KAG1697560.1,KAE8884085.1,PITG_03916,PPTG_04926T0,2507663885,EGZ05693,Pc2109T1C00003068g0000640.1,Pc2113T1C00002350g0000510.1
OG0008883,KAG1697563.1,KAE8884194.1,PITG_03918,PPTG_04924T0,2507663884,EGZ05695,Pc2109T1C00003068g0000610.1,Pc2113T1C00002350g0000530.1
OG0008884,KAG1697564.1,KAE8884193.1,PITG_03919,PPTG_04923T0,2507663883,EGZ05696,Pc2109T1C00003068g0000600.1,Pc2113T1C00002350g0000540.1
OG0008885,KAG1697573.1,KAE8884042.1,PITG_03929,PPTG_04911T0,2507663879,EGZ05715,Pc2109T1C00003068g0000430.1,Pc2113T1C00002350g0000710.1
OG0008887,KAG1697577.1,KAE8884038.1,PITG_03932,PPTG_04908T0,2507663878,EGZ05718,Pc2109T1C00003068g0000400.1,Pc2113T1C00002350g0000740.1
OG0008888,KAG1697580.1,KAE8884043.1,PITG_03934,PPTG_04901T0,2507663874,EGZ05720,Pc2109T1C00003068g0000380.1,Pc2113T1C00002350g0000760.1
OG0008889,KAG1697582.1,KAE8884111.1,PITG_03937,PPTG_04899T0,2507663872,EGZ05722,Pc2109T1C00003068g0000360.1,Pc2113T1C00002350g0000780.1
OG0008890,KAG1697583.1,KAE8884110.1,PITG_03938,PPTG_04898T0,2507663871,EGZ05723,Pc2109T1C00003068g0000350.1,Pc2113T1C00002350g0000790.1
OG0008891,KAG1697585.1,KAE8884108.1,PITG_03940,PPTG_04896T0,2507663869,EGZ05727,Pc2109T1C00003068g0000340.1,Pc2113T1C00002350g0000800.1
OG0008893,KAG1697588.1,KAE8884115.1,PITG_03942,PPTG_04894T0,2507663868,EGZ05731,Pc2109T1C00003068g0000310.1,Pc2113T1C00002350g0000830.1
OG0008894,KAG1697591.1,KAE8884118.1,PITG_03944,PPTG_04890T0,2507663866,EGZ05734,Pc2109T1C00003068g0000280.1,Pc2113T1C00002350g0000860.1
OG0008895,KAG1697598.1,KAE8884171.1,PITG_03946,PPTG_04888T0,2507663864,EGZ05736,Pc2109T1C00003068g0000260.1,Pc2113T1C00002350g0000880.1
OG0008896,KAG1697599.1,KAE8884172.1,PITG_03947,PPTG_04887T0,2507663863,EGZ05737,Pc2109T1C00003068g0000250.1,Pc2113T1C00002350g0000890.1
OG0008897,KAG1697600.1,KAE8884173.1,PITG_03948,PPTG_04886T0,2507663861,EGZ05738,Pc2109T1C00003068g0000240.1,Pc2113T1C00002350g0000900.1
OG0008898,KAG1697604.1,KAE8884096.1,PITG_03952,PPTG_04882T0,2507663859,EGZ05742,Pc2109T1C00003068g0000210.1,Pc2113T1C00002350g0000940.1
OG0008900,KAG1697609.1,KAE8884001.1,PITG_03957,PPTG_04877T0,2507663855,EGZ05746,Pc2109T1C00003068g0000170.1,Pc2113T1C00002350g0000980.1
OG0008901,KAG1697610.1,KAE8884000.1,PITG_03958,PPTG_04876T0,2507663854,EGZ05747,Pc2109T1C00003068g0000160.1,Pc2113T1C00002350g0000990.1
OG0008902,KAG1697611.1,KAE8884003.1,PITG_03959,PPTG_04875T0,2507663853,EGZ05748,Pc2109T1C00003068g0000150.1,Pc2113T1C00002350g0001000.1
OG0008905,KAG1697626.1,KAE8884031.1,PITG_03978,PPTG_04857T0,2507663840,EGZ05779,Pc2109T1C00003066g0000250.1,Pc2113T1C00002350g0001180.1
OG0008906,KAG1697630.1,KAE8884028.1,PITG_03986,PPTG_04854T0,2507663837,EGZ05783,Pc2109T1C00003066g0000220.1,Pc2113T1C00002350g0001210.1
OG0008908,KAG1697634.1,KAE8884090.1,PITG_03989,PPTG_04849T0,2507663833,EGZ05787,Pc2109T1C00003066g0000180.1,Pc2113T1C00002350g0001260.1
OG0008910,KAG1697639.1,KAE8884095.1,PITG_20685,PPTG_20401T0,2507663830,EGZ05790,Pc2109T1C00003066g0000140.1,Pc2113T1C00002350g0001300.1
OG0008911,KAG1697648.1,KAE8884160.1,PITG_03999,PPTG_04839T0,2507663824,EGZ05809,Pc2109T1C00003065g0000170.1,Pc2113T1C00002350g0001390.1
OG0008912,KAG1697736.1,KAE8886339.1,PITG_15773,PPTG_15492T0,2507655129,EGZ18938,Pc2109T1C00003152g0000570.1,Pc2113T1C00002958g0000270.1
OG0008913,KAG1697744.1,KAE8886330.1,PITG_15786,PPTG_18274T0,2507655125,EGZ18952,Pc2109T1C00003152g0000500.1,Pc2113T1C00002958g0000200.1
OG0008916,KAG1697770.1,KAE8886342.1,PITG_18238,PPTG_15467T0,2507655110,EGZ18977,Pc2109T1C00003152g0000360.1,Pc2113T1C00003197g0000260.1
OG0008919,KAG1697773.1,KAE8886276.1,PITG_18243,PPTG_15463T0,2507655107,EGZ18983,Pc2109T1C00003152g0000320.1,Pc2113T1C00002958g0000030.1
OG0008922,KAG1697880.1,KAE8888451.1,PITG_18280,PPTG_19133T0,2507655075,EGZ19018,Pc2109T1C00003152g0000100.1,Pc2113T1C00001579g0000180.1
OG0008923,KAG1697928.1,KAE8895833.1,PITG_17600,PPTG_16166T0,2507667145,EGZ11174,Pc2109T1C00002503g0001620.1,Pc2113T1C00032629g0000510.1
OG0008924,KAG1697930.1,KAE8895655.1,PITG_17601,PPTG_16165T0,2507667140,EGZ11167,Pc2109T1C00002503g0001630.1,Pc2113T1C00032629g0000500.1
OG0008925,KAG1697931.1,KAE8895662.1,PITG_17602,PPTG_16164T0,2507667141,EGZ11166,Pc2109T1C00002503g0001640.1,Pc2113T1C00032629g0000490.1
OG0008928,KAG1698003.1,KAE8878327.1,PITG_16966,PPTG_16241T0,2507664699,EGZ11249,Pc2109T1C00002503g0000910.1,Pc2113T1C00002589g0000690.1
OG0008929,KAG1698004.1,KAE8878293.1,PITG_16965,PPTG_16240T0,2507664698,EGZ11296,Pc2109T1C00002503g0000900.1,Pc2113T1C00002589g0000700.1
OG0008930,KAG1698006.1,KAE8878326.1,PITG_16967,PPTG_16242T0,2507664696,EGZ11300,Pc2109T1C00002503g0000880.1,Pc2113T1C00002589g0000720.1
OG0008931,KAG1698007.1,KAE8878303.1,PITG_16969,PPTG_16245T0,2507664693,EGZ11304,Pc2109T1C00002503g0000870.1,Pc2113T1C00002589g0000730.1
OG0008932,KAG1698008.1,KAE8878330.1,PITG_16968,PPTG_16244T0,2507664694,EGZ11305,Pc2109T1C00002503g0000860.1,Pc2113T1C00002589g0000740.1
OG0008936,KAG1698186.1,KAE8914251.1,PITG_10722,PPTG_12498T0,2507657827,EGZ29182,Pc2109T1C00003002g0001050.1,Pc2113T1C00002541g0001030.1
OG0008937,KAG1698193.1,KAE8913962.1,PITG_10735,PPTG_12478T0,2507657820,EGZ29199,Pc2109T1C00003002g0000990.1,Pc2113T1C00002541g0001090.1
OG0008938,KAG1698194.1,KAE8914661.1,PITG_05291,PPTG_16374T0,2507657819,EGZ29200,Pc2109T1C00003002g0000980.1,Pc2113T1C00002541g0001100.1
OG0008941,KAG1698218.1,KAE8914868.1,PITG_10762,PPTG_12458T0,2507657809,EGZ29217,Pc2109T1C00003002g0000820.1,Pc2113T1C00002541g0001270.1
OG0008942,KAG1698219.1,KAE8914869.1,PITG_10763,PPTG_12456T0,2507657807,EGZ29216,Pc2109T1C00003002g0000800.1,Pc2113T1C00002541g0001290.1
OG0008944,KAG1698234.1,KAE8914059.1,PITG_10767,PPTG_12450T0,2507657797,EGZ29227,Pc2109T1C00003002g0000740.1,Pc2113T1C00002541g0001360.1
OG0008945,KAG1698235.1,KAE8914061.1,PITG_10768,PPTG_12449T0,2507657796,EGZ29228,Pc2109T1C00003002g0000730.1,Pc2113T1C00002541g0001370.1
OG0008946,KAG1698236.1,KAE8914064.1,PITG_10769,PPTG_12448T0,2507657795,EGZ29230,Pc2109T1C00003002g0000720.1,Pc2113T1C00002541g0001380.1
OG0008947,KAG1698238.1,KAE8914057.1,PITG_10773,PPTG_12446T0,2507657793,EGZ29233,Pc2109T1C00003002g0000700.1,Pc2113T1C00002541g0001400.1
OG0008948,KAG1698250.1,KAE8914724.1,PITG_10784,PPTG_12437T0,2507657787,EGZ29256,Pc2109T1C00003002g0000550.1,Pc2113T1C00002543g0000020.1
OG0008949,KAG1698252.1,KAE8914720.1,PITG_10785,PPTG_12435T0,2507657785,EGZ29258,Pc2109T1C00003002g0000530.1,Pc2113T1C00002543g0000040.1
OG0008951,KAG1698256.1,KAE8914279.1,PITG_10794,PPTG_12431T0,2507657781,EGZ29261,Pc2109T1C00003002g0000500.1,Pc2113T1C00002543g0000070.1
OG0008952,KAG1698260.1,KAE8914276.1,PITG_10798,PPTG_12427T0,2507657779,EGZ29264,Pc2109T1C00003002g0000460.1,Pc2113T1C00002543g0000110.1
OG0008955,KAG1698365.1,KAE8886075.1,PITG_13034,PPTG_16870T0,2507658187,EGZ10396,Pc2109T1C00003427g0000360.1,Pc2113T1C00002783g0001530.1
OG0008956,KAG1698366.1,KAE8886082.1,PITG_13033,PPTG_16871T0,2507658188,EGZ10395,Pc2109T1C00003427g0000370.1,Pc2113T1C00002783g0001540.1
OG0008957,KAG1698368.1,KAE8886080.1,PITG_13031,PPTG_16873T0,2507658190,EGZ10393,Pc2109T1C00003427g0000390.1,Pc2113T1C00002783g0001570.1
OG0008962,KAG1698389.1,KAE8890452.1,PITG_13051,PPTG_12359T0,2507658172,EGZ10350,Pc2109T1C00002676g0000210.1,Pc2113T1C00002783g0001840.1
OG0008964,KAG1698403.1,KAE8890487.1,PITG_13063,PPTG_12350T0,2507666762,EGZ11471,Pc2109T1C00002676g0000290.1,Pc2113T1C00002784g0000060.1
OG0008965,KAG1698406.1,KAE8890416.1,PITG_13064,PPTG_12349T0,2507666760,EGZ11475,Pc2109T1C00002676g0000310.1,Pc2113T1C00002784g0000090.1
OG0008966,KAG1698407.1,KAE8890415.1,PITG_13065,PPTG_12348T0,2507666759,EGZ11476,Pc2109T1C00002676g0000320.1,Pc2113T1C00002784g0000100.1
OG0008967,KAG1698408.1,KAE8890410.1,PITG_11882,PPTG_12347T0,2507666758,EGZ11477,Pc2109T1C00002676g0000330.1,Pc2113T1C00002784g0000110.1
OG0008968,KAG1698409.1,KAE8890409.1,PITG_13068,PPTG_12346T0,2507666757,EGZ11478,Pc2109T1C00002676g0000340.1,Pc2113T1C00002784g0000120.1
OG0008969,KAG1698411.1,KAE8890407.1,PITG_13069,PPTG_12345T0,2507666756,EGZ11480,Pc2109T1C00002676g0000360.1,Pc2113T1C00002784g0000140.1
OG0008970,KAG1698414.1,KAE8890266.1,PITG_13074,PPTG_12287T0,2507666749,EGZ11488,Pc2109T1C00002676g0000410.1,Pc2113T1C00002784g0000200.1
OG0008971,KAG1698415.1,KAE8890267.1,PITG_13079,PPTG_12331T0,2507658162,EGZ11496,Pc2109T1C00002676g0000420.1,Pc2113T1C00002784g0000210.1
OG0008972,KAG1698416.1,KAE8890262.1,PITG_13080,PPTG_12330T0,2507658161,EGZ11497,Pc2109T1C00002676g0000430.1,Pc2113T1C00002784g0000220.1
OG0008973,KAG1698423.1,KAE8890328.1,PITG_13077,PPTG_12321T0,2507658155,EGZ11506,Pc2109T1C00002676g0000500.1,Pc2113T1C00002784g0000290.1
OG0008975,KAG1698440.1,KAE8890371.1,PITG_20412,PPTG_12304T0,2507658148,EGZ11534,Pc2109T1C00002676g0000740.1,Pc2113T1C00002785g0000270.1
OG0008976,KAG1698449.1,KAE8890220.1,PITG_13113,PPTG_12291T0,2507658139,EGZ11545,Pc2109T1C00002676g0000810.1,Pc2113T1C00002785g0000320.1
OG0008977,KAG1698452.1,KAE8900787.1,PITG_13116,PPTG_12286T0,2507655592,EGZ22547,Pc2109T1C00002792g0000140.1,Pc2113T1C00001149g0000130.1
OG0008978,KAG1698459.1,KAE8879404.1,PITG_13120,PPTG_12279T0,2507658133,EGZ11562,Pc2109T1C00002676g0000900.1,Pc2113T1C00002785g0000430.1
OG0008979,KAG1698460.1,KAE8879394.1,PITG_13128,PPTG_12277T0,2507658132,EGZ11563,Pc2109T1C00002676g0000910.1,Pc2113T1C00002785g0000440.1
OG0008980,KAG1698461.1,KAE8879311.1,PITG_13130,PPTG_12275T0,2507658130,EGZ11565,Pc2109T1C00002676g0000920.1,Pc2113T1C00002785g0000450.1
OG0008981,KAG1698463.1,KAE8879313.1,PITG_13132,PPTG_12273T0,2507658128,EGZ11570,Pc2109T1C00002676g0000940.1,Pc2113T1C00002785g0000470.1
OG0008982,KAG1698464.1,KAE8915728.1,PITG_13133,PPTG_12272T0,2507658127,EGZ11571,Pc2109T1C00002676g0000970.1,Pc2113T1C00002785g0000500.1
OG0008983,KAG1698467.1,KAE8879372.1,PITG_13145,PPTG_12263T0,2507658122,EGZ11582,Pc2109T1C00002676g0001000.1,Pc2113T1C00002785g0000550.1
OG0008984,KAG1698469.1,KAE8879319.1,PITG_13147,PPTG_12260T0,2507658120,EGZ11587,Pc2109T1C00002676g0001040.1,Pc2113T1C00002785g0000590.1
OG0008985,KAG1698473.1,KAE8879282.1,PITG_13152,PPTG_12255T0,2507658109,EGZ11598,Pc2109T1C00002676g0001180.1,Pc2113T1C00002785g0000700.1
OG0008986,KAG1698474.1,KAE8879403.1,PITG_13151,PPTG_12256T0,2507658117,EGZ11592,Pc2109T1C00002676g0001080.1,Pc2113T1C00002785g0000630.1
OG0008987,KAG1698475.1,KAE8879280.1,PITG_13153,PPTG_12253T0,2507658107,EGZ11596,Pc2109T1C00002676g0001160.1,Pc2113T1C00002785g0000680.1
OG0008988,KAG1698479.1,KAE8879286.1,PITG_13158,PPTG_12249T0,2507658106,EGZ11605,Pc2109T1C00002676g0001200.1,Pc2113T1C00002785g0000720.1
